,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
571,False,/iISgIVowVZSG7CpgulfNYAP0idE.jpg,"[35, 10402]",14655,en,Soul Men,"Two former backup soul singers, Louis and Floyd, have not spoken to each other in 20 years, and reluctantly agree to travel across the country together to a reunion concert to honor their recently-deceased lead singer. Cleo, a beautiful young woman who is believed to be Floyd's daughter, accompanies them as a new singer.",5.723189,/23UKOJp4gKPuJR3vjp3ueRUJJYr.jpg,2008-11-07,Soul Men,False,6.3,56
572,False,/ir4ckTs1O9lI3toZHbXLmJnT51C.jpg,[],410596,en,Access All Areas,Four runaway teenagers are catapulted on a wild and uplifting road trip out of the city and across the water to a magical island music festival.,2.754558,/vFJkTrJtNDiygoJ8EDPXHFtK5sH.jpg,2017-10-20,Access All Areas,False,5.0,2
573,False,/qevK3CHxXCFYbB5CE7tFkJHJCo6.jpg,"[18, 10402]",75596,en,The Night the Lights Went Out in Georgia,"An aspiring country singer (Dennis Quaid) and his feisty younger sister/manager (Kristy McNichol) struggle to reach their dreams of Nashville stardom-as long as she can keep her brother out of trouble with the ladies and the law-in this drama ""inspired by,"" but not really connected to, the hit '70s ballad. Mark Hamill and Don Stroud also star.",1.71587,/1cxX1ljfIrJ2dt8aN0bVexd6ZSX.jpg,1981-05-29,The Night the Lights Went Out in Georgia,False,6.4,6
574,False,/bDgKTaTOcMoMWWL5Bh8PE9JaoP8.jpg,"[35, 18]",408258,fr,Souvenir,Isabelle Huppert stars as a middle-aged factory worker whose long-ago brush with fame comes to the fore again when she begins a romance with a young aspiring boxer.,1.477418,/id8KOnCxp5x1xeiCSqQa69MMPRy.jpg,2016-12-21,Souvenir,False,5.8,6
575,False,/rbrgx4PJev0rgwUZoObnNFrKqnp.jpg,"[27, 10402]",25438,en,Trick or Treat,"Eddie is your average 80's metal head teen. Now he's obsessed with his heavy-metal superstar idol, Sammi Curr who is killed in a hotel fire. Eddie becomes the recipient of the only copy of Curr's unreleased album, which when played backwards brings Sammi back to life. As Halloween approaches, Eddie begins to realize that this isn't only rock 'n roll... it's life and death.",6.172495,/21ouEk4YP3kwmghiIjplbyayK3l.jpg,1986-10-24,Trick or Treat,False,5.6,49
576,False,/79qACnw35KJbEoMPqXG5OahmTws.jpg,"[35, 18]",54093,en,Killing Bono,"Neil and Ivan McCormick, two Irish brothers who attempt to become rock stars but can only look on as their high school friends U2 become the biggest band in the world.",4.479522,/fepUQH7QFsCVEl3jVWLV1bDc9FF.jpg,2011-04-01,Killing Bono,False,6.5,36
577,False,/vKxstgr9k5J1prlp4j5uH6Ufzq0.jpg,[10402],477582,en,Double Dutchess: Seeing Double,"A high-art, high-fashion showcase of a star's many personas-and a vivid reminder that our art, not our obstacles, ultimately defines us. Free, focused, and fucking shit up again, it shows every side of Fergie-the superstar, the visual artist, the creative director, the label head, the fashion icon, the wife, and, she'll tell you most importantly, ""mom.""",4.08937,/7ElPSG4WMPISlKRaBXi9XB1Mb9r.jpg,2017-09-08,Double Dutchess: Seeing Double,False,10.0,1
578,False,/jekwQ138h0KtOaRZ4bv2PvyDesO.jpg,"[18, 10402]",10910,en,Moulin Rouge,Fictional account of French artist Henri de Toulouse-Lautrec.,5.119198,/mdXL304JJhIioZiWp3KBng0te6l.jpg,1952-12-23,Moulin Rouge,False,6.3,19
579,False,/rKVEQ9OkOA3kCCpKdywefulhTih.jpg,"[18, 10402, 10749, 10752]",29572,en,The Man Who Cried,A young refugee travels from Russia to America in search of her lost father and falls in love with a gypsy horseman.,6.15038,/hMtC9N4h5kpyObfjAbOXilVnjHg.jpg,2000-08-29,The Man Who Cried,False,5.6,79
580,False,/feGjikVrxhcXZMdk71i95CafrWT.jpg,"[35, 18]",9684,en,Sweet and Lowdown,"A comedic biopic focused on the life of fictional jazz guitarist Emmett Ray. Ray was an irresponsible, free-spending, arrogant, obnoxious, alcohol-abusing, miserable human being, who was also arguably the best guitarist in the world.",6.790286,/23S5qa8j3ajYnERcYCqMLfSeOvw.jpg,1999-12-03,Sweet and Lowdown,False,6.8,138
